model,brand,line,capacity_tb,rpm,cache_mb,interface,form_factor,recording_tech,acoustic_idle_db,acoustic_seek_db,is_helium,drive_class,media_type,nand_type,tbw_tb,dwpd,has_dram,has_plp,sustained_write_mbps,in_production,also_sold_as,afr_pct,reliability_drive_count,reliability_drive_days,reliability_failures,reliability_source
ST14000NM0018,Seagate,"Exos X14",14,7200,256,SATA,3.5,cmr,,,1,Enterprise,hdd,,,,,,,0,ST14000NM0138,5.72,1211,689230,108,"Backblaze thru Q2 2026 (merged ST14000NM0138)"
ST14000NM001G,Seagate,"Exos X16",14,7200,256,SATA,3.5,cmr,29,33,1,Enterprise,hdd,,,,,,,1,,1.28,10455,5743412,202,"Backblaze thru Q2 2026"
ST14000NT001,Seagate,"IronWolf Pro",14,7200,256,SATA,3.5,cmr,28,32,1,NAS-Pro,hdd,,,,,,,1,,,,,,
HDWG31G,Toshiba,N300,14,7200,256,SATA,3.5,cmr,20,,1,NAS,hdd,,,,,,,1,HDWG31GUZSVA,,,,,
HDWR31G,Toshiba,X300,14,7200,256,SATA,3.5,cmr,20,,1,Desktop,hdd,,,,,,,1,,,,,,
MG07ACA14TE,Toshiba,MG07,14,7200,256,SATA,3.5,cmr,20,,1,Enterprise,hdd,,,,,,,1,MG07ACA14TA;MG07ACA14TEY,1.29,37907,20869630,736,"Backblaze thru Q2 2026 (merged MG07ACA14TA + MG07ACA14TEY)"
MG07SCA14TE,Toshiba,MG07,14,7200,256,SAS,3.5,cmr,20,,1,Enterprise,hdd,,,,,,,1,,,,,,
WD140EFGX,WD,"Red Plus",14,7200,512,SATA,3.5,cmr,24,28,1,NAS,hdd,,,,,,,1,,,,,,
WD141PURP,WD,"Purple Pro",14,7200,512,SATA,3.5,cmr,20,32,1,Surveillance,hdd,,,,,,,1,,,,,,
WD142KFGX,WD,"Red Pro",14,7200,512,SATA,3.5,cmr,20,36,1,NAS-Pro,hdd,,,,,,,1,,,,,,
WD142KRYZ,WD,Gold,14,7200,512,SATA,3.5,cmr,20,32,1,Enterprise,hdd,,,,,,,1,,,,,,
WUH721414AL5204,WD,"Ultrastar DC HC530",14,7200,512,SAS,3.5,cmr,20,36,1,Enterprise,hdd,,,,,,,1,,,,,,
WUH721414ALE6L4,WD,"Ultrastar DC HC530",14,7200,512,SATA,3.5,cmr,20,36,1,Enterprise,hdd,,,,,,,1,,0.78,8548,4701165,100,"Backblaze thru Q2 2026"
ST12000NM0007,Seagate,"Exos X12",12,7200,256,SATA,3.5,cmr,,,1,Enterprise,hdd,,,,,,,0,,5.12,957,541543,76,"Backblaze thru Q2 2026"
ST12000NM0008,Seagate,"Exos X14",12,7200,256,SATA,3.5,cmr,,,1,Enterprise,hdd,,,,,,,0,,2.72,18363,10212727,760,"Backblaze thru Q2 2026"
ST12000NM000J,Seagate,"Exos X18",12,7200,256,SATA,3.5,cmr,,,1,Enterprise,hdd,,,,,,,0,,0.34,1079,542215,5,"Backblaze thru Q2 2026"
ST12000NM001G,Seagate,"Exos X16",12,7200,256,SATA,3.5,cmr,29,33,1,Enterprise,hdd,,,,,,,1,,1.03,13072,7197315,204,"Backblaze thru Q2 2026"
ST12000NT001,Seagate,"IronWolf Pro",12,7200,256,SATA,3.5,cmr,28,32,1,NAS-Pro,hdd,,,,,,,1,,,,,,
ST12000VE001,Seagate,"SkyHawk AI",12,7200,256,SATA,3.5,cmr,,,1,Surveillance,hdd,,,,,,,0,,,,,,
ST12000VE003,Seagate,"SkyHawk AI",12,7200,512,SATA,3.5,cmr,,,1,Surveillance,hdd,,,,,,,1,,,,,,
ST12000VN0008,Seagate,IronWolf,12,7200,256,SATA,3.5,cmr,,,1,NAS,hdd,,,,,,,1,,,,,,
HAT3310-12T,Synology,"Plus Series",12,7200,512,SATA,3.5,cmr,20,32,1,NAS,hdd,,,,,,,1,,,,,,
HAT5300-12T,Synology,"Enterprise Series",12,7200,256,SATA,3.5,cmr,,,1,Enterprise,hdd,,,,,,,1,,,,,,
HDWG21C,Toshiba,N300,12,7200,256,SATA,3.5,cmr,20,,1,NAS,hdd,,,,,,,1,HDWG21CEZSTA;HDWG21CUZSVA,,,,,
HDWR21C,Toshiba,X300,12,7200,256,SATA,3.5,cmr,20,,1,Desktop,hdd,,,,,,,1,HDWR21CUZSVA;HDWR21CXZSTA,,,,,
MG07ACA12TE,Toshiba,MG07,12,7200,256,SATA,3.5,cmr,20,,1,Enterprise,hdd,,,,,,,1,MG07ACA12TEY,,,,,
HUH721212ALE604,WD,"Ultrastar DC HC520",12,7200,256,SATA,3.5,cmr,20,36,1,Enterprise,hdd,,,,,,,1,HUH721212ALE600;HUH721212ALN604,3.27,25045,14009178,1255,"Backblaze thru Q2 2026 (merged HUH721212ALE600 + HUH721212ALE604 + HUH721212ALN604)"
WD120EFBX,WD,"Red Plus",12,7200,256,SATA,3.5,cmr,24,28,1,NAS,hdd,,,,,,,1,,,,,,
WD121KFBX,WD,"Red Pro",12,7200,256,SATA,3.5,cmr,20,36,1,NAS-Pro,hdd,,,,,,,1,,,,,,
WD121KRYZ,WD,Gold,12,7200,256,SATA,3.5,cmr,20,32,1,Enterprise,hdd,,,,,,,1,,,,,,
WD121PURP,WD,"Purple Pro",12,7200,256,SATA,3.5,cmr,20,32,1,Surveillance,hdd,,,,,,,1,,,,,,
ST10000NM0086,Seagate,"Exos X10",10,7200,256,SATA,3.5,cmr,,,1,Enterprise,hdd,,,,,,,0,,6.15,936,540219,91,"Backblaze thru Q2 2026"
ST10000NM019B,Seagate,"Exos 7E10",10,7200,256,SATA,3.5,cmr,28,32,0,Enterprise,hdd,,,,,,,1,,,,,,
ST10000NT001,Seagate,"IronWolf Pro",10,7200,256,SATA,3.5,cmr,28,32,1,NAS-Pro,hdd,,,,,,,1,,,,,,
ST10000VN000,Seagate,IronWolf,10,7200,256,SATA,3.5,cmr,,,1,NAS,hdd,,,,,,,1,,,,,,
HDWG11A,Toshiba,N300,10,7200,256,SATA,3.5,cmr,20,,0,NAS,hdd,,,,,,,1,HDWG11AEZSTA;HDWG11AUZSVA,,,,,
HDWR11A,Toshiba,X300,10,7200,256,SATA,3.5,cmr,20,,0,Desktop,hdd,,,,,,,1,HDWR11AUZSVA;HDWR11AXZSTA,,,,,
MG06ACA10TE,Toshiba,MG06,10,7200,256,SATA,3.5,cmr,,,0,Enterprise,hdd,,,,,,,1,MG06ACA10TEY,,,,,
WD100EFGX,WD,Red,10,7200,256,SATA,3.5,cmr,24,28,1,NAS,hdd,,,,,,,0,,,,,,
WD101EFBX,WD,"Red Plus",10,7200,256,SATA,3.5,cmr,24,28,1,NAS,hdd,,,,,,,1,,,,,,
WD101PURP,WD,"Purple Pro",10,7200,256,SATA,3.5,cmr,20,32,1,Surveillance,hdd,,,,,,,1,,,,,,
WD102KFBX,WD,"Red Pro",10,7200,256,SATA,3.5,cmr,20,36,1,NAS-Pro,hdd,,,,,,,1,,,,,,
WD102KRYZ,WD,Gold,10,7200,256,SATA,3.5,cmr,20,32,1,Enterprise,hdd,,,,,,,1,,,,,,
WUS721010ALE6L4,WD,"Ultrastar DC HC330",10,7200,256,SATA,3.5,cmr,,,0,Enterprise,hdd,,,,,,,1,,,,,,
SB-RKT4P-8TB,Sabrent,"Rocket 4 Plus",8,,,NVMe,M.2,,,,,Desktop,ssd,TLC,5600,,1,0,,1,,,,,,
MZ-77Q8T0,Samsung,"870 QVO",8,,,SATA,2.5,,,,,Desktop,ssd,QLC,2880,,1,0,160,1,,,,,,
ST8000DM002,Seagate,BarraCuda,8,7200,256,SATA,3.5,cmr,,,0,Desktop,hdd,,,,,,,0,,1.78,5968,4479333,219,"Backblaze thru Q2 2026"
ST8000DM004,Seagate,BarraCuda,8,5400,256,SATA,3.5,smr,22,24,0,Desktop,hdd,,,,,,,1,,,,,,
ST8000NM000A,Seagate,"Exos 7E8",8,7200,256,SATA,3.5,cmr,28,32,0,Enterprise,hdd,,,,,,,1,,,,,,
ST8000NM0055,Seagate,"Enterprise Capacity V5",8,7200,256,SATA,3.5,cmr,,,0,Enterprise,hdd,,,,,,,0,,2.23,12874,7224396,442,"Backblaze thru Q2 2026"
ST8000NM017B,Seagate,"Exos 7E10",8,7200,256,SATA,3.5,cmr,28,32,0,Enterprise,hdd,,,,,,,1,,,,,,
ST8000NM018B,Seagate,"Exos 7E10",8,7200,256,SAS,3.5,cmr,28,32,0,Enterprise,hdd,,,,,,,1,,,,,,
ST8000NT001,Seagate,"IronWolf Pro",8,7200,256,SATA,3.5,cmr,28,32,0,NAS-Pro,hdd,,,,,,,1,,,,,,
ST8000VE001,Seagate,"SkyHawk AI",8,7200,256,SATA,3.5,cmr,,,0,Surveillance,hdd,,,,,,,1,,,,,,
ST8000VN004,Seagate,IronWolf,8,7200,256,SATA,3.5,cmr,,,0,NAS,hdd,,,,,,,1,,,,,,
ST8000VX010,Seagate,SkyHawk,8,7200,256,SATA,3.5,cmr,26,27,0,Surveillance,hdd,,,,,,,1,,,,,,
HAT3320-8T,Synology,"Plus Series",8,7200,512,SATA,3.5,cmr,34,35,1,NAS,hdd,,,,,,,1,,,,,,
HAT5320-8T,Synology,"Enterprise Series",8,7200,512,SATA,3.5,cmr,,,0,Enterprise,hdd,,,,,,,1,,,,,,
HDWG480,Toshiba,N300,8,7200,256,SATA,3.5,cmr,20,,0,NAS,hdd,,,,,,,1,HDWG480EZSTA;HDWG480UZSVA;HDWG480XZSTA,,,,,
HDWR480,Toshiba,X300,8,7200,256,SATA,3.5,cmr,20,,0,Desktop,hdd,,,,,,,1,HDWR480EZSTA;HDWR480UZSVA;HDWR480XZSTA,,,,,
MG06ACA800E,Toshiba,MG06,8,7200,256,SATA,3.5,cmr,,,0,Enterprise,hdd,,,,,,,1,,,,,,
HUH728080ALE604,WD,"Ultrastar He8",8,7200,128,SATA,3.5,cmr,,,1,Enterprise,hdd,,,,,,,0,HUH728080ALE600,2.93,103,485752,39,"Backblaze thru Q2 2026 (merged HUH728080ALE600)"
HUS728T8TALE6L4,WD,"Ultrastar DC HC320",8,7200,256,SATA,3.5,cmr,,,0,Enterprise,hdd,,,,,,,1,,,,,,
WD8001PURP,WD,"Purple Pro",8,7200,256,SATA,3.5,cmr,20,32,0,Surveillance,hdd,,,,,,,1,,,,,,
WD8004FRYZ,WD,Gold,8,7200,256,SATA,3.5,cmr,20,32,0,Enterprise,hdd,,,,,,,1,,,,,,
WD8005FFBX,WD,"Red Pro",8,7200,256,SATA,3.5,cmr,20,36,0,NAS-Pro,hdd,,,,,,,1,,,,,,
WD80EFAX,WD,Red,8,5640,256,SATA,3.5,cmr,24,28,0,NAS,hdd,,,,,,,0,,,,,,
WD80EFPX,WD,"Red Plus",8,5640,256,SATA,3.5,cmr,24,28,0,NAS,hdd,,,,,,,1,,,,,,
WD80EFZZ,WD,"Red Plus",8,5640,256,SATA,3.5,cmr,24,28,0,NAS,hdd,,,,,,,1,,,,,,
WDS800T1X0M,WD,"Black SN8100",8,,,NVMe,M.2,,,,,Desktop,ssd,TLC,4800,,1,0,,1,,,,,,
SEDC600M/7680G,Kingston,DC600M,7.68,,,SATA,2.5,,,,,Enterprise,ssd,TLC,14016,1,1,1,530,1,,,,,,
KCD8XRUG7T68,Kioxia,CD8-R,7.68,,,NVMe,U.2,,,,,Enterprise,ssd,TLC,14016,1,1,1,3800,1,,,,,,
MTFDDAK7T6TGA,Micron,"5400 PRO",7.68,,,SATA,2.5,,,,,Enterprise,ssd,TLC,9110,0.65,1,1,520,1,,,,,,
MTFDKCC7T6TFR,Micron,"7450 PRO",7.68,,,NVMe,U.3,,,,,Enterprise,ssd,TLC,14000,1,1,1,5600,1,,,,,,
MZ7L37T6HBLA-00W07,Samsung,PM893,7.68,,,SATA,2.5,,,,,Enterprise,ssd,TLC,14016,1,1,1,,1,,,,,,
MZQL27T6HBLA-00A07,Samsung,PM9A3,7.68,,,NVMe,U.2,,,,,Enterprise,ssd,TLC,14016,1,1,1,,1,,,,,,
SBFPF2BV076T001,Solidigm,D5-P5336,7.68,,,NVMe,U.2,,,,,Enterprise,ssd,QLC,5900,0.42,1,1,1800,1,,,,,,
SSDPF2KX076T1,Solidigm,D7-P5520,7.68,,,NVMe,U.2,,,,,Enterprise,ssd,TLC,14000,1,1,1,4200,1,,,,,,
MTFDKCC6T4TFS,Micron,"7450 MAX",6.4,,,NVMe,U.3,,,,,Enterprise,ssd,TLC,35000,3,1,1,5600,1,,,,,,
ST6000DM003,Seagate,BarraCuda,6,5400,256,SATA,3.5,smr,22,24,0,Desktop,hdd,,,,,,,1,,,,,,
ST6000NT001,Seagate,"IronWolf Pro",6,7200,256,SATA,3.5,cmr,28,32,0,NAS-Pro,hdd,,,,,,,1,,,,,,
ST6000VN006,Seagate,IronWolf,6,5400,256,SATA,3.5,cmr,,,0,NAS,hdd,,,,,,,1,,,,,,
ST6000VX009,Seagate,SkyHawk,6,5400,256,SATA,3.5,cmr,26,27,0,Surveillance,hdd,,,,,,,1,,,,,,
HAT3300-6T,Synology,"Plus Series",6,5400,256,SATA,3.5,cmr,27,28,0,NAS,hdd,,,,,,,1,,,,,,
DT02ABA600,Toshiba,DT02,6,5400,128,SATA,3.5,smr,,,0,Desktop,hdd,,,,,,,1,,,,,,
HDWD260,Toshiba,P300,6,5400,128,SATA,3.5,smr,22,,0,Desktop,hdd,,,,,,,1,HDWD260EZSTA;HDWD260UZSVA,,,,,
HDWG460,Toshiba,N300,6,7200,256,SATA,3.5,cmr,20,,0,NAS,hdd,,,,,,,1,HDWG460EZSTA;HDWG460UZSVA,,,,,
HDWR460,Toshiba,X300,6,7200,256,SATA,3.5,cmr,20,,0,Desktop,hdd,,,,,,,1,HDWR460UZSVA,,,,,
MG06ACA600E,Toshiba,MG06,6,7200,256,SATA,3.5,cmr,,,0,Enterprise,hdd,,,,,,,1,,,,,,
WD6004FRYZ,WD,Gold,6,7200,256,SATA,3.5,cmr,20,32,0,Enterprise,hdd,,,,,,,1,,,,,,
WD6005FFBX,WD,"Red Pro",6,7200,256,SATA,3.5,cmr,20,36,0,NAS-Pro,hdd,,,,,,,1,,,,,,
WD60EFAX,WD,Red,6,5400,256,SATA,3.5,smr,23,29,0,NAS,hdd,,,,,,,1,,,,,,
WD60EFPX,WD,"Red Plus",6,5400,256,SATA,3.5,cmr,24,28,0,NAS,hdd,,,,,,,1,,,,,,
WD60EZAX,WD,Blue,6,5400,256,SATA,3.5,cmr,23,27,0,Desktop,hdd,,,,,,,1,,,,,,
WD60EZAZ,WD,Blue,6,5400,256,SATA,3.5,smr,23,27,0,Desktop,hdd,,,,,,,1,,,,,,
CT4000P3PSSD8,Crucial,"P3 Plus",4,,,NVMe,M.2,,,,,Desktop,ssd,QLC,800,,0,0,,1,,,,,,
CT4000T705SSD3,Crucial,T705,4,,,NVMe,M.2,,,,,Desktop,ssd,TLC,2400,,1,0,,1,,,,,,
SFYRD/4000G,Kingston,"Fury Renegade",4,,,NVMe,M.2,,,,,Desktop,ssd,TLC,4000,,1,0,,1,,,,,,
SKC3000D/4096G,Kingston,KC3000,4,,,NVMe,M.2,,,,,Desktop,ssd,TLC,3200,,1,0,,1,,,,,,
